iter	Passed	Remaining
0	13	5493
1	26	5311
2	39	5168
3	49	4928
4	61	4865
5	70	4656
6	84	4726
7	96	4737
8	110	4780
9	122	4769
10	131	4653
11	142	4602
12	153	4561
13	160	4434
14	171	4395
15	184	4428
16	195	4404
17	202	4300
18	215	4317
19	226	4311
20	237	4286
21	249	4290
22	261	4292
23	273	4286
24	276	4153
25	289	4164
26	300	4145
27	311	4133
28	322	4120
29	334	4130
30	345	4117
31	357	4111
32	368	4097
33	378	4075
34	389	4057
35	392	3964
36	402	3945
37	412	3933
38	419	3887
39	430	3875
40	441	3865
41	452	3856
42	461	3831
43	466	3778
44	476	3756
45	487	3751
46	497	3739
47	512	3756
48	523	3751
49	535	3748
50	548	3756
51	564	3775
52	577	3778
53	590	3781
54	601	3770
55	614	3771
56	628	3779
57	641	3779
58	653	3778
59	672	3813
60	686	3812
61	698	3805
62	716	3831
63	729	3831
64	742	3826
65	766	3877
66	779	3874
67	795	3882
68	809	3883
69	828	3906
70	843	3906
71	870	3964
72	884	3959
73	899	3963
74	912	3956
75	925	3943
76	937	3933
77	954	3941
78	979	3980
79	992	3968
80	1006	3962
81	1016	3942
82	1031	3938
83	1035	3895
84	1048	3886
85	1060	3872
86	1072	3859
87	1077	3820
88	1090	3810
89	1103	3801
90	1117	3793
91	1129	3779
92	1139	3762
93	1150	3746
94	1165	3741
95	1177	3730
96	1192	3724
97	1206	3718
98	1219	3707
99	1234	3703
100	1248	3697
101	1262	3688
102	1274	3674
103	1287	3665
104	1300	3653
105	1307	3627
106	1323	3623
107	1334	3608
108	1349	3601
109	1353	3568
110	1363	3550
111	1376	3540
112	1389	3529
113	1404	3524
114	1417	3513
115	1431	3505
116	1443	3491
117	1455	3478
118	1466	3463
119	1480	3453
120	1485	3425
121	1499	3418
122	1515	3411
123	1528	3401
124	1539	3387
125	1549	3370
126	1560	3355
127	1564	3323
128	1575	3308
129	1580	3283
130	1591	3267
131	1602	3254
132	1609	3231
133	1621	3218
134	1634	3207
135	1646	3196
136	1650	3168
137	1655	3142
138	1665	3128
139	1675	3112
140	1688	3101
141	1699	3087
142	1711	3075
143	1719	3056
144	1723	3030
145	1734	3017
146	1746	3005
147	1758	2994
148	1769	2981
149	1780	2968
150	1793	2956
151	1803	2942
152	1815	2930
153	1825	2916
154	1835	2900
155	1846	2888
156	1857	2875
157	1869	2862
158	1880	2850
159	1893	2839
160	1902	2824
161	1914	2812
162	1927	2801
163	1938	2789
164	1947	2774
165	1959	2761
166	1971	2750
167	1982	2737
168	1995	2727
169	2008	2717
170	2019	2704
171	2029	2690
172	2032	2667
173	2044	2655
174	2056	2643
175	2067	2631
176	2079	2620
177	2090	2607
178	2100	2593
179	2104	2571
180	2113	2557
181	2125	2546
182	2128	2524
183	2138	2510
184	2150	2499
185	2161	2486
186	2175	2477
187	2182	2460
188	2193	2449
189	2206	2439
190	2217	2426
191	2225	2410
192	2239	2401
193	2251	2391
194	2263	2379
195	2275	2368
196	2289	2359
197	2305	2352
198	2309	2332
199	2346	2346
200	2358	2335
201	2371	2324
202	2383	2312
203	2395	2301
204	2401	2284
205	2412	2272
206	2426	2262
207	2429	2242
208	2440	2230
209	2452	2218
210	2464	2207
211	2476	2196
212	2488	2184
213	2506	2178
214	2519	2167
215	2532	2157
216	2545	2146
217	2560	2137
218	2574	2127
219	2587	2117
220	2601	2106
221	2608	2091
222	2622	2081
223	2629	2065
224	2644	2056
225	2656	2045
226	2669	2034
227	2683	2024
228	2695	2012
229	2707	2001
230	2721	1991
231	2733	1979
232	2748	1969
233	2761	1959
234	2775	1948
235	2786	1936
236	2799	1925
237	2812	1914
238	2825	1903
239	2839	1892
240	2843	1875
241	2854	1863
242	2866	1851
243	2879	1841
244	2891	1829
245	2902	1817
246	2913	1804
247	2924	1792
248	2937	1781
249	2949	1769
250	2962	1758
251	2973	1746
252	2982	1733
253	2993	1720
254	3005	1708
255	3019	1698
256	3030	1686
257	3039	1672
258	3052	1661
259	3064	1650
260	3074	1637
261	3086	1625
262	3098	1614
263	3110	1602
264	3121	1590
265	3134	1579
266	3142	1565
267	3155	1554
268	3164	1541
269	3176	1529
270	3185	1516
271	3197	1504
272	3209	1493
273	3223	1482
274	3235	1470
275	3247	1458
276	3260	1447
277	3272	1436
278	3282	1423
279	3291	1410
280	3303	1398
281	3316	1387
282	3330	1376
283	3343	1365
284	3362	1356
285	3375	1345
286	3391	1335
287	3408	1325
288	3419	1313
289	3434	1302
290	3450	1292
291	3461	1280
292	3483	1272
293	3501	1262
294	3516	1251
295	3527	1239
296	3541	1228
297	3559	1218
298	3567	1205
299	3582	1194
300	3600	1184
301	3609	1171
302	3621	1159
303	3634	1147
304	3644	1135
305	3658	1123
306	3674	1113
307	3684	1100
308	3695	1088
309	3707	1076
310	3717	1063
311	3732	1052
312	3769	1047
313	3781	1035
314	3791	1023
315	3805	1011
316	3817	999
317	3831	987
318	3844	976
319	3857	964
320	3869	952
321	3880	940
322	3891	927
323	3901	915
324	3911	902
325	3923	890
326	3934	878
327	3945	866
328	3963	855
329	3979	844
330	3994	832
331	4008	820
332	4020	808
333	4034	797
334	4048	785
335	4061	773
336	4075	761
337	4090	750
338	4103	738
339	4117	726
340	4133	715
341	4150	703
342	4163	691
343	4174	679
344	4186	667
345	4202	655
346	4218	644
347	4234	632
348	4246	620
349	4260	608
350	4270	596
351	4283	584
352	4298	572
353	4311	560
354	4327	548
355	4339	536
356	4352	524
357	4364	512
358	4376	499
359	4388	487
360	4399	475
361	4412	463
362	4423	450
363	4435	438
364	4448	426
365	4460	414
366	4474	402
367	4484	389
368	4493	377
369	4505	365
370	4516	353
371	4528	340
372	4541	328
373	4551	316
374	4561	304
375	4572	291
376	4585	279
377	4596	267
378	4608	255
379	4620	243
380	4635	231
381	4647	218
382	4660	206
383	4672	194
384	4682	182
385	4693	170
386	4706	158
387	4717	145
388	4727	133
389	4739	121
390	4749	109
391	4759	97
392	4767	84
393	4777	72
394	4787	60
395	4799	48
396	4810	36
397	4821	24
398	4833	12
399	4841	0
